City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
307,saint-joseph,-21.3667,55.6167,75.58,81,97,6.33,RE,1667565717
308,nohar,29.1833,74.7667,86.94,24,0,6.15,IN,1667565718
309,ankang,32.68,109.0172,53.98,84,99,3.2,CN,1667565711
310,zykovo,55.9519,93.1461,32.74,91,41,2.28,RU,1667565718
311,tiarei,-17.5333,-149.3333,78.01,85,96,22.93,PF,1667565719
312,kenai,60.5544,-151.2583,26.15,75,100,6.91,US,1667565719
313,lincoln,40.8,-96.667,36.9,89,100,19.57,US,1667565567
314,kijang,35.2442,129.2139,46.13,24,7,5.59,KR,1667565719
315,mahajanga,-15.7167,46.3167,80.91,69,54,12.12,MG,1667565571
316,port macquarie,-31.4333,152.9167,54.9,72,17,1.95,AU,1667565720
317,tsabong,-26.0217,22.401,90.88,7,100,20.54,BW,1667565720
318,tasiilaq,65.6145,-37.6368,30.36,85,100,19.53,GL,1667565721
319,santa rosa,14.3122,121.1114,81.09,81,18,7.7,PH,1667565509
320,nassjo,57.6531,14.6968,49.12,80,100,11.92,SE,1667565721
321,ucluelet,48.9329,-125.5528,46.09,93,100,1.01,CA,1667565722
322,bac lieu,9.285,105.7244,77.74,89,100,10.18,VN,1667565614
323,herat,34.5,62.0,55.65,63,96,6.22,AF,1667565723
324,souillac,-20.5167,57.5167,80.98,65,75,11.5,MU,1667565723
325,san lawrenz,36.0553,14.204,76.86,66,2,4.0,MT,1667565723
326,houma,29.5958,-90.7195,73.0,100,40,6.91,US,1667565518
327,bowen,-20.0167,148.2333,74.64,62,0,20.78,AU,1667565725
328,te anau,-45.4167,167.7167,44.15,86,97,5.53,NZ,1667565726
329,trat,12.5,102.5,74.84,71,88,3.06,TH,1667565727
330,havre-saint-pierre,50.2334,-63.5986,37.4,93,100,3.44,CA,1667565728
331,nikel,69.4128,30.222,37.58,98,100,9.48,RU,1667565728
332,boyolangu,-8.1181,111.8935,77.36,91,100,3.47,ID,1667565728
333,fort nelson,58.8053,-122.7002,9.99,85,100,3.44,CA,1667565729
334,inhambane,-23.865,35.3833,84.18,61,20,11.5,MZ,1667565729
335,davila,18.4726,120.5763,76.98,84,29,15.68,PH,1667565730
336,ahuimanu,21.4447,-157.8378,78.51,84,40,5.75,US,1667565730
337,vila velha,-20.3297,-40.2925,71.55,75,40,16.11,BR,1667565731
338,tahoua,14.8888,5.2692,91.38,14,99,11.5,NE,1667565731
339,dandong,40.1292,124.3947,34.25,48,0,3.58,CN,1667565731
340,qaqortoq,60.7167,-46.0333,36.32,75,100,6.64,GL,1667565732
341,praia,14.9215,-23.5087,81.81,61,90,15.26,CV,1667565732
342,tracy,37.7397,-121.4252,44.22,71,64,3.0,US,1667565511
343,manassas,38.751,-77.4753,55.49,97,8,1.7,US,1667565733
344,havoysund,70.9963,24.6622,44.83,85,100,7.94,NO,1667565733
345,khorramabad,33.4878,48.3558,67.62,32,20,9.22,IR,1667565733
346,vangaindrano,-23.35,47.6,78.57,71,60,9.71,MG,1667565734
347,lahan,26.7296,86.4951,72.61,54,0,3.22,NP,1667565734
348,vila,42.0304,-8.1588,52.68,70,100,5.82,PT,1667565735
349,klamath falls,42.2249,-121.7817,35.06,83,100,1.99,US,1667565551
350,micheweni,-4.9667,39.8333,82.09,64,18,8.28,TZ,1667565736
351,ulaangom,49.9811,92.0667,26.83,87,94,0.29,MN,1667565736
352,muros,42.7762,-9.0603,63.84,58,100,3.36,ES,1667565737
353,diego de almagro,-26.3667,-70.05,67.46,25,0,5.48,CL,1667565738
354,waw,7.7029,27.9953,95.77,26,72,6.22,SS,1667565738
355,kurtamysh,54.9103,64.4319,31.23,85,100,7.0,RU,1667565739
356,myatlevo,54.8969,35.6762,31.98,67,12,4.36,RU,1667565739
357,bellevue,47.6104,-122.2007,51.78,92,100,23.0,US,1667565678
358,grindavik,63.8424,-22.4338,43.27,81,75,12.66,IS,1667565740
359,santa ana,33.7456,-117.8678,54.66,59,0,3.44,US,1667565607
360,beloha,-25.1667,45.05,74.98,67,63,18.16,MG,1667565741
361,vanavara,60.34,102.2797,7.7,98,70,2.75,RU,1667565741
362,ahtopol,42.1,27.95,63.16,69,16,12.39,BG,1667565741
363,hibbing,47.4272,-92.9377,33.4,64,100,9.22,US,1667565500
364,bulgan,48.8125,103.5347,25.99,60,100,1.99,MN,1667565742
365,rundu,-17.9333,19.7667,87.84,31,100,4.54,NA,1667565743
366,cherskiy,68.75,161.3,-15.18,90,71,4.38,RU,1667565744
